1.4614e+02 1.9476e+01 1.4436e-03 -1.4517e+02 4.4923e-02
1.5106e+02 1.9801e+01 2.9010e-03 -1.4519e+02 4.6436e-02
1.5600e+02 2.0122e+01 4.3970e-03 -1.4529e+02 4.7952e-02
1.6081e+02 2.0430e+01 5.9098e-03 -1.4545e+02 4.9431e-02
1.6538e+02 2.0718e+01 7.4486e-03 -1.4569e+02 5.0836e-02
1.6962e+02 2.0983e+01 9.0159e-03 -1.4599e+02 5.2141e-02
1.7349e+02 2.1220e+01 1.0602e-02 -1.4635e+02 5.3330e-02
1.7695e+02 2.1431e+01 1.2208e-02 -1.4677e+02 5.4395e-02
1.8002e+02 2.1616e+01 1.3830e-02 -1.4723e+02 5.5339e-02
1.8272e+02 2.1778e+01 1.5460e-02 -1.4774e+02 5.6167e-02
1.8508e+02 2.1918e+01 1.7092e-02 -1.4828e+02 5.6892e-02
1.8714e+02 2.2040e+01 1.8728e-02 -1.4885e+02 5.7527e-02
1.8896e+02 2.2146e+01 2.0368e-02 -1.4945e+02 5.8085e-02
1.9056e+02 2.2240e+01 2.2013e-02 -1.5008e+02 5.8578e-02
1.9200e+02 2.2324e+01 2.3664e-02 -1.5073e+02 5.9020e-02
1.9330e+02 2.2399e+01 2.5320e-02 -1.5140e+02 5.9421e-02
1.9450e+02 2.2469e+01 2.6979e-02 -1.5209e+02 5.9790e-02
1.9562e+02 2.2533e+01 2.8642e-02 -1.5279e+02 6.0134e-02
1.9669e+02 2.2595e+01 3.0307e-02 -1.5351e+02 6.0462e-02
1.9772e+02 2.2654e+01 3.1975e-02 -1.5425e+02 6.0778e-02
1.9872e+02 2.2711e+01 3.3644e-02 -1.5500e+02 6.1086e-02
1.9971e+02 2.2768e+01 3.5315e-02 -1.5577e+02 6.1392e-02
2.0071e+02 2.2824e+01 3.6986e-02 -1.5656e+02 6.1697e-02
2.0171e+02 2.2881e+01 3.8658e-02 -1.5736e+02 6.2005e-02
2.0272e+02 2.2939e+01 4.0329e-02 -1.5817e+02 6.2317e-02
2.0376e+02 2.2997e+01 4.2001e-02 -1.5901e+02 6.2636e-02
2.0483e+02 2.3057e+01 4.3672e-02 -1.5986e+02 6.2963e-02
2.0592e+02 2.3119e+01 4.5343e-02 -1.6073e+02 6.3299e-02
2.0705e+02 2.3182e+01 4.7014e-02 -1.6161e+02 6.3646e-02
2.0822e+02 2.3247e+01 4.8684e-02 -1.6252e+02 6.4005e-02
2.0943e+02 2.3315e+01 5.0353e-02 -1.6344e+02 6.4377e-02
2.1068e+02 2.3385e+01 5.2021e-02 -1.6438e+02 6.4762e-02
2.1198e+02 2.3457e+01 5.3689e-02 -1.6534e+02 6.5162e-02
2.1333e+02 2.3531e+01 5.5356e-02 -1.6633e+02 6.5578e-02
2.1474e+02 2.3609e+01 5.7023e-02 -1.6734e+02 6.6009e-02
2.1619e+02 2.3689e+01 5.8689e-02 -1.6837e+02 6.6457e-02
2.1771e+02 2.3771e+01 6.0354e-02 -1.6942e+02 6.6923e-02
2.1928e+02 2.3857e+01 6.2018e-02 -1.7050e+02 6.7406e-02
2.2092e+02 2.3946e+01 6.3682e-02 -1.7161e+02 6.7909e-02
2.2261e+02 2.4038e+01 6.5346e-02 -1.7274e+02 6.8430e-02
2.2437e+02 2.4132e+01 6.7008e-02 -1.7391e+02 6.8971e-02
2.2619e+02 2.4230e+01 6.8669e-02 -1.7511e+02 6.9531e-02
2.2807e+02 2.4331e+01 7.0329e-02 -1.7633e+02 7.0109e-02
2.3002e+02 2.4434e+01 7.1988e-02 -1.7759e+02 7.0706e-02
2.3202e+02 2.4540e+01 7.3645e-02 -1.7888e+02 7.1321e-02
2.3407e+02 2.4648e+01 7.5302e-02 -1.8021e+02 7.1952e-02
2.3616e+02 2.4758e+01 7.6957e-02 -1.8158e+02 7.2595e-02
2.3829e+02 2.4869e+01 7.8610e-02 -1.8299e+02 7.3248e-02
2.4043e+02 2.4981e+01 8.0262e-02 -1.8443e+02 7.3907e-02
2.4257e+02 2.5092e+01 8.1912e-02 -1.8592e+02 7.4565e-02
2.4468e+02 2.5201e+01 8.3560e-02 -1.8744e+02 7.5215e-02
2.4674e+02 2.5307e+01 8.5206e-02 -1.8902e+02 7.5846e-02
2.4869e+02 2.5406e+01 8.6851e-02 -1.9063e+02 7.6446e-02
2.5049e+02 2.5498e+01 8.8495e-02 -1.9229e+02 7.6999e-02
2.5207e+02 2.5579e+01 9.0138e-02 -1.9399e+02 7.7486e-02
2.5337e+02 2.5644e+01 9.1780e-02 -1.9572e+02 7.7885e-02
2.5430e+02 2.5691e+01 9.3421e-02 -1.9750e+02 7.8170e-02
2.5477e+02 2.5715e+01 9.5062e-02 -1.9932e+02 7.8315e-02
2.5469e+02 2.5711e+01 9.6703e-02 -2.0116e+02 7.8290e-02
2.5398e+02 2.5675e+01 9.8345e-02 -2.0303e+02 7.8072e-02
2.5259e+02 2.5605e+01 9.9987e-02 -2.0492e+02 7.7645e-02
2.5053e+02 2.5500e+01 1.0163e-01 -2.0682e+02 7.7011e-02
2.4787e+02 2.5365e+01 1.0328e-01 -2.0872e+02 7.6195e-02
2.4482e+02 2.5208e+01 1.0492e-01 -2.1062e+02 7.5257e-02
2.4168e+02 2.5046e+01 1.0657e-01 -2.1250e+02 7.4292e-02
2.3885e+02 2.4899e+01 1.0821e-01 -2.1435e+02 7.3420e-02
2.3671e+02 2.4787e+01 1.0985e-01 -2.1619e+02 7.2764e-02
2.3554e+02 2.4726e+01 1.1147e-01 -2.1799e+02 7.2404e-02
